"","data.ST","data.AGEP","data.CIT","data.COW","data.ENG","data.LANX","data.SCHL","data.SEX","data.ANC1P","data.ANC2P","data.FOD1P","data.FOD2P","data.LANP","data.NATIVITY","data.OCCP","data.RAC1P"
"909054",13,44,1,1,NA,2,21,1,50,999,1901,NA,NA,1,4810,1
"1183635",20,8,1,NA,NA,2,5,1,89,32,NA,NA,NA,1,NA,1
"95816",4,21,5,4,NA,2,16,1,931,999,NA,NA,NA,2,4600,1
"907607",13,48,5,NA,3,1,12,2,210,999,NA,NA,625,2,NA,1
"1080660",18,50,1,NA,NA,2,16,1,82,32,NA,NA,NA,1,NA,1
"1064207",17,10,1,NA,NA,2,5,2,51,32,NA,NA,NA,1,NA,1
"1576471",27,46,1,1,NA,2,21,1,32,111,6107,6203,NA,1,3255,1
"1507994",26,32,1,1,NA,2,16,1,425,50,NA,NA,NA,1,4400,1
"1004865",17,11,1,NA,NA,2,7,1,32,26,NA,NA,NA,1,NA,1
"1514208",26,31,1,2,NA,2,22,1,91,999,4901,NA,NA,1,2040,1
"372913",6,32,4,1,2,1,7,1,785,999,NA,NA,728,2,9130,6
"1542767",27,21,5,NA,4,1,1,2,768,999,NA,NA,722,2,NA,6
"1425149",25,63,1,3,NA,2,22,1,935,999,2399,NA,NA,1,230,1
"1539062",27,60,1,2,NA,2,22,2,82,999,2304,NA,NA,1,2310,1
"1415329",25,68,1,NA,NA,2,11,1,50,931,NA,NA,NA,1,NA,1
"310008",6,67,1,NA,NA,2,21,1,22,88,6200,1901,NA,1,NA,1
"632220",12,91,1,NA,2,1,16,2,178,999,NA,NA,651,1,NA,1
"186642",6,37,1,1,1,1,18,2,290,999,NA,NA,625,1,120,1
"46714",1,35,1,1,NA,2,21,2,22,32,5301,NA,NA,1,5240,1
"403358",6,53,4,1,2,1,15,2,290,999,NA,NA,625,2,3600,8
"539883",8,19,1,1,NA,2,16,2,983,32,NA,NA,NA,1,3645,1
"1372109",25,9,1,NA,1,1,7,2,212,234,NA,NA,625,1,NA,9
"154243",6,46,5,4,3,1,21,2,210,999,2402,NA,625,2,4610,1
"1109529",18,5,1,NA,1,1,2,2,939,765,NA,NA,725,1,NA,6
"951205",17,41,1,1,NA,2,21,1,32,999,1101,NA,NA,1,4850,1
"359302",6,2,1,NA,NA,NA,NA,2,210,999,NA,NA,NA,1,NA,8
"1560452",27,51,1,1,NA,2,22,2,32,999,6201,NA,NA,1,800,1
"1486257",26,54,1,1,NA,2,18,2,939,999,NA,NA,NA,1,2630,1
"60589",4,53,1,1,NA,2,21,1,50,22,5007,5001,NA,1,5350,1
"1137918",18,66,1,1,NA,2,14,1,999,999,NA,NA,NA,1,9130,1
"939007",16,37,1,NA,NA,2,16,2,210,261,NA,NA,NA,1,NA,1
"1277453",22,59,1,1,1,1,20,2,26,32,NA,NA,624,1,5110,1
"1539111",27,36,1,1,NA,2,19,1,32,999,NA,NA,NA,1,4760,1
"1583651",27,22,1,1,NA,2,16,2,917,999,NA,NA,NA,1,4110,3
"1601891",28,48,1,NA,NA,2,13,2,996,999,NA,NA,NA,1,NA,1
"1421832",25,17,1,1,NA,2,18,1,706,999,NA,NA,NA,1,4430,6
"1447166",26,60,1,1,NA,2,21,1,32,999,6206,NA,NA,1,50,1
"856970",13,31,1,1,NA,2,19,2,32,26,NA,NA,NA,1,3500,1
"873697",13,40,1,4,NA,2,21,1,999,999,3600,NA,NA,1,2200,1
"462982",6,19,4,NA,NA,2,18,2,782,999,NA,NA,NA,2,NA,6
"1069773",17,15,1,NA,NA,2,12,1,939,999,NA,NA,NA,1,NA,1
"57879",4,25,4,1,1,1,16,1,210,999,NA,NA,625,2,9350,1
"488433",6,7,1,NA,NA,2,3,2,226,999,NA,NA,NA,1,NA,8
"467310",6,79,4,NA,4,1,16,2,999,999,NA,NA,639,2,NA,1
"1348916",24,47,1,3,NA,2,19,1,32,50,NA,NA,NA,1,3850,1
"524088",8,13,1,NA,1,1,10,1,210,999,NA,NA,625,1,NA,1
"1300898",23,74,1,NA,NA,2,14,2,22,999,NA,NA,NA,1,NA,1
"493698",6,10,1,NA,NA,2,8,2,51,999,NA,NA,NA,1,NA,1
"1125461",18,61,1,NA,NA,2,14,1,924,999,NA,NA,NA,1,NA,1
"1599598",28,47,1,3,NA,2,20,2,902,999,NA,NA,NA,1,2320,2
"12694",1,56,1,1,NA,2,16,1,999,999,NA,NA,NA,1,205,1
"955232",17,72,1,NA,NA,2,21,1,939,999,2399,NA,NA,1,NA,1
"1485261",26,55,1,2,NA,2,23,1,32,26,2102,NA,NA,1,2750,1
"917247",15,68,1,NA,NA,2,21,1,740,999,5200,NA,NA,1,NA,6
"131211",5,6,1,NA,NA,2,2,2,902,999,NA,NA,NA,1,NA,2
"380082",6,53,1,3,NA,2,21,2,98,999,3401,NA,NA,1,2310,1
